
No.	单词	解释
1	snatch	1. n. 抢夺；小量；抓举<br>2. vt. 夺得；抽空做；及时救助
2	abridgable	adj. 可以删节的
3	abridge	vt. 删节；缩短；节略
4	abrogate	vt. 废除；取消
5	abscond	vi. 逃匿，潜逃；避债
6	especially	adv. 尤其, 特别
7	factitious	adj. 不自然的,虚假的; 人为的,人造的副 词: factitiously 名 词: factitiousness
8	absent	1. adj. 缺席的；缺少的；心不在焉的；茫然的<br>2. vt. 使缺席
9	absence	n. 缺席；缺乏；没有；不注意
10	abstain	vi. 放弃；自制；避免
11	abstemious	adj. 适中的,有节制的; 以节制为特点的; 简单而有节制的；节俭的，节省的; adv. 适中地,有节制地; n. 适中,有节制副 词: abstemiously 名 词: a...
12	temetum	马氏体形变处理
13	temulentus	num. 十个，十
14	abstruse	adj. 深奥的；难懂的
15	extrusion	n. 挤出,推出,喷出,赶出
16	thrust	1. n. 推力；刺<br>2. vt. 插入；插；推挤
17	from	prep. 来自，从；今后；由于
18	conceal	vt. 隐藏；隐瞒
19	absurd	1. adj. 荒谬的；可笑的<br>2. n. 荒诞；荒诞作品
20	absurdity	n. 极端无理性,悖理；荒谬; 谬论；荒谬的行为
21	late	1. adj. 迟的；晚的；已故的；最近的<br>2. adv. 晚；迟；在晚期；最近
22	susurration	n. 低语声，喃喃低语声；沙沙声
23	murmuring	抱怨;喃喃声音
24	rustling	1. n. 瑟瑟声<br>2. v. 发出沙沙声；使窸窣作响（rustle的ing形式）
25	abuse	1. n. 滥用；辱骂；虐待；弊端；恶习，陋习<br>2. vt. 滥用；辱骂；虐待
26	abut	1. vi. 邻接；毗邻；紧靠<br>2. vt. 邻接；毗邻；紧靠
27	butt	1. n. 笑柄；烟头；屁股；靶垛；粗大的一端<br>2. vt. 以头抵撞；碰撞
28	bot	n. 马蝇幼虫，马蝇
29	but	1. conj. 但是；然而；而是<br>2. adv. 仅仅，只
30	bout	n. 较量；发作；回合；一阵
31	abysmal	adj. 深不可测的；极度的；糟透的
32	abysm	n. 无底洞；深渊
33	accede	vi. 同意；加入；就任
34	cede	vt. 割让（领土）；放弃
35	accelerate	vt. & vi. 加快, 增速时 态: accelerated, accelerating, accelerates 形容词: accelerative
36	celerity	n. 敏捷；快速
37	acclimate	v. 使适应新环境,使服水土 服水土,适应时 态: acclimated, acclimating, acclimates
38	climate	n. 气候；风气；思潮；风土
39	accolade	n. 荣誉称号授予仪式；荣誉；连谱号；称赞
40	collar	1. n. 衣领；颈圈<br>2. vt. 给…上领子；给…套上颈圈；[口]抓住
41	tapping	1. n. 出渣；出钢；开孔；轻敲声<br>2. v. 轻拍；轻敲（tap的ing形式）
42	commodate	n. 洗脸台；便桶；衣柜
43	accommodate	vt. 容纳; 向…提供住处; 使适应, 顺应时 态: accommodated, accommodating, accommodates 形容词: accommodative...
44	commode	n. 洗脸台；便桶；衣柜
45	accost	vt. 勾引；引诱；对…说话；搭讪
46	coast	1. vi. 沿岸航行；滑行<br>2. vt. 沿…岸航行
47	warships	n. 战舰，战船；军舰（warship的复数形式）
48	Fran	n. 弗兰（Frances的昵称，女子名）
49	pot belly	罐装干酪（等于cottage cheese）
50	pot	1. n. 罐；壶；盆<br>2. vt. 把…装罐；射击；节略
51	belly	1. n. 腹部；胃；食欲<br>2. vi. 涨满；鼓起
52	bole	n. 树干形容词: bole
53	bellows	n. 风箱；波纹管；皮老虎
54	jammies	n. 〈口〉睡衣裤
55	thong	1. n. 皮带；皮鞭；人字拖鞋<br>2. vt. 鞭打；给…装上皮带
56	pinch	1. vt. 捏；勒索；使苦恼；掐掉某物，修剪<br>2. n. 匮乏；少量；夹痛
57	nub	n. 要点；小块，结节；瘤；残根
58	knob	1. n. 把手；瘤；球形突出物<br>2. vi. 鼓起
59	knoll	n. 小山
60	rub	1. vt. 擦；摩擦；惹怒<br>2. vi. 摩擦；擦；擦破
61	rack	1. n. 行李架；拷问台；齿条<br>2. vi. 随风飘；小步跑；变形
62	regal	adj. 帝王的；王室的；豪华的；庄严的
63	slumber	1. n. 睡眠；麻木状态；静止状态<br>2. vi. 睡眠；蛰伏；麻木
64	and	conj. 和，与；而且；然后；就；但是
65	formerly	adv. 以前；原来
66	former	1. adj. 从前的，前者的；前任的<br>2. n. 模型，样板；起形成作用的人
67	apparently	adv. 显然地; 表面上,似乎
68	rib	1. n. 肋骨；排骨；肋状物<br>2. vt. [口]戏弄；装肋于
69	accumulate	vt. & vi. 堆积; 积累时 态: accumulated, accumulating, accumulates 形容词: accumulable
70	predental	adj. 牙科学预科的
